"id","complex.systems","health","crime","statistics","remote.sensing","political.sciences","traffic.modeling","biology","cognitive.sciences","spatial.analysis","GIS","biogeography","environnment","economy","physical.geography"
"44",26842,0.0714285714285714,0,0,0,0,0.857142857142857,0,0,0,0,0,0,0,0.0714285714285714,0
"45",22221,0.142857142857143,0,0,0,0,0.285714285714286,0,0,0,0,0,0.285714285714286,0.285714285714286,0,0
"46",5251,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"47",25571,0.428571428571429,0,0,0,0,0.428571428571429,0,0,0,0,0,0,0,0.142857142857143,0
"48",3925,0.1875,0,0,0.03125,0,0.125,0.15625,0,0,0.15625,0.09375,0.03125,0.03125,0.0625,0
"49",1196,0.166666666666667,0.166666666666667,0,0,0,0.333333333333333,0,0,0.166666666666667,0.166666666666667,0,0,0,0,0
"50",26325,0.08,0,0,0,0.08,0.2,0,0,0,0,0,0,0,0.6,0.04
"51",3067,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"52",5493,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"53",4397,0.133333333333333,0,0,0,0.0666666666666667,0.333333333333333,0.0666666666666667,0,0,0.0666666666666667,0.0666666666666667,0,0,0.0666666666666667,0
"54",1546,0.0555555555555556,0,0,0,0,0.333333333333333,0.0555555555555556,0.0555555555555556,0,0.0555555555555556,0.0555555555555556,0,0,0.277777777777778,0.0555555555555556
"55",12443,0.05,0,0,0,0,0.15,0,0,0,0,0,0.2,0.15,0.05,0.4
"56",25233,0.25,0,0,0.0357142857142857,0,0.321428571428571,0,0.0357142857142857,0.0357142857142857,0.107142857142857,0,0.0357142857142857,0.142857142857143,0.0357142857142857,0
"57",23433,0.461538461538462,0,0,0,0,0.307692307692308,0,0,0,0,0,0.0769230769230769,0,0.153846153846154,0
"58",26277,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0.25,0,0
"59",13033,0.117647058823529,0,0,0,0.0588235294117647,0.352941176470588,0,0,0.117647058823529,0,0.0588235294117647,0.117647058823529,0,0.0588235294117647,0
"60",22529,0.192307692307692,0,0,0,0.153846153846154,0.115384615384615,0.0384615384615385,0.0384615384615385,0.0384615384615385,0.0769230769230769,0,0.0769230769230769,0,0.115384615384615,0.153846153846154
"61",21743,0.0588235294117647,0.294117647058824,0,0,0,0.117647058823529,0.0588235294117647,0,0,0,0,0.176470588235294,0,0.235294117647059,0.0588235294117647
"62",23175,0.472222222222222,0.0555555555555556,0,0,0,0.222222222222222,0,0,0,0.0833333333333333,0,0.0277777777777778,0.0277777777777778,0.111111111111111,0
"63",22466,0.142857142857143,0,0,0,0,0.642857142857143,0,0,0,0,0,0.142857142857143,0,0.0714285714285714,0
"64",25750,0.25,0,0,0,0.1,0.25,0,0.05,0,0.1,0,0,0.15,0.1,0
"65",25919,0.117647058823529,0,0,0,0,0.764705882352941,0,0,0,0,0,0.0588235294117647,0,0.0588235294117647,0
